Date,Open,High,Low,Close,Adj Close,Volume
2021-02-10,127.000000,132.494995,126.699997,129.229996,129.229996,835300
2021-02-11,129.509995,131.169998,125.830002,130.759995,130.759995,696100
2021-02-12,130.839996,131.399994,126.904999,128.789993,128.789993,640500
2021-02-16,128.690002,129.259995,120.529999,123.040001,123.040001,838900
2021-02-17,122.480003,124.239998,118.000000,123.709999,123.709999,771000
2021-02-18,123.239998,125.419998,121.180000,123.059998,123.059998,398900
2021-02-19,122.919998,126.480003,122.824997,124.540001,124.540001,359100
2021-02-22,124.510002,126.010002,121.709999,121.989998,121.989998,649700
2021-02-23,120.000000,121.480003,112.790001,120.860001,120.860001,788200
2021-02-24,122.300003,125.750000,119.644997,125.330002,125.330002,506300
2021-02-25,125.449997,126.839996,117.589996,118.919998,118.919998,790400
2021-02-26,117.940002,121.809998,113.529999,118.480003,118.480003,1116700
2021-03-01,118.660004,119.250000,113.239998,117.529999,117.529999,1690600
2021-03-02,119.779999,123.559998,119.000000,121.459999,121.459999,1043800
2021-03-03,122.169998,124.775002,112.860001,113.820000,113.820000,812100
2021-03-04,114.669998,115.742996,104.629997,109.370003,109.370003,847300
2021-03-05,109.330002,112.879997,103.449997,112.760002,112.760002,1098800
2021-03-08,113.940002,116.860001,111.449997,115.870003,115.870003,991600
2021-03-09,117.400002,118.000000,114.250000,114.389999,114.389999,850500
2021-03-10,115.260002,120.360001,115.070000,120.019997,120.019997,639000
2021-03-11,121.790001,124.989998,121.160004,123.040001,123.040001,772900
2021-03-12,122.000000,124.309998,119.091003,121.809998,121.809998,580800
2021-03-15,123.379997,130.000000,122.169998,129.679993,129.679993,1134100
2021-03-16,129.619995,129.910004,120.560997,122.739998,122.739998,739400
2021-03-17,122.000000,125.610001,119.849998,124.449997,124.449997,463900
2021-03-18,125.000000,125.480003,117.598000,118.779999,118.779999,955100
2021-03-19,118.709999,123.419998,118.287003,122.430000,122.430000,890400
2021-03-22,122.959999,124.690002,118.709999,119.389999,119.389999,564200
2021-03-23,117.720001,119.589996,114.239998,115.099998,115.099998,602200
2021-03-24,116.550003,116.870003,109.680000,110.879997,110.879997,702100
2021-03-25,109.379997,115.650002,108.620003,115.089996,115.089996,456900
2021-03-26,117.320000,118.066002,111.330002,115.000000,115.000000,356500
2021-03-29,113.910004,114.779999,110.070000,110.779999,110.779999,418600
2021-03-30,109.699997,113.370003,109.699997,111.430000,111.430000,360700
2021-03-31,112.529999,114.040001,111.150002,112.769997,112.769997,396900
2021-04-01,114.889999,119.000000,112.671997,113.449997,113.449997,617500
2021-04-05,114.760002,115.489998,112.019997,113.940002,113.940002,375300
2021-04-06,114.120003,115.919998,113.599998,114.339996,114.339996,434500
2021-04-07,114.309998,118.370003,114.309998,115.739998,115.739998,486900
2021-04-08,116.139999,117.370003,112.129997,113.809998,113.809998,628600
2021-04-09,113.449997,114.889999,111.500000,114.629997,114.629997,382300
2021-04-12,114.099998,115.760002,111.559998,113.000000,113.000000,409200
2021-04-13,112.610001,118.050003,111.500000,116.820000,116.820000,577600
2021-04-14,117.510002,120.000000,116.949997,117.180000,117.180000,536800
2021-04-15,116.529999,119.589996,116.419998,119.000000,119.000000,392800
2021-04-16,120.230003,120.230003,115.596001,116.779999,116.779999,395900
2021-04-19,116.000000,116.320000,109.449997,110.169998,110.169998,838600
2021-04-20,110.000000,111.040001,104.470001,108.360001,108.360001,816900
2021-04-21,107.500000,109.190002,105.550003,109.019997,109.019997,488200
2021-04-22,109.629997,112.400002,108.739998,109.309998,109.309998,381700
2021-04-23,110.839996,110.860001,109.180000,110.309998,110.309998,366100
2021-04-26,111.010002,113.480003,111.000000,112.000000,112.000000,455700
2021-04-27,113.500000,114.722000,111.349998,111.860001,111.860001,470400
2021-04-28,111.269997,113.300003,109.669998,111.650002,111.650002,351200
